Manufacturer,Model,Nationality,Derivative,Doors,Engine Size,OTR,12 month 12k miles Part-Ex,24 month 24k miles Part-Ex,36 month 36k miles Part-Ex,48 month 48k miles  Part-Ex,12month 12k miles % of OTR,24 month 24k miles % of OTR,36 month 36k miles % of OTR,3YR % Depreciation,48 month 48k miles % of OTR
Audi,A3 (2012-),Germany,3Dr Hatchback 1.4 TFSI SS 125 EU6 S line 6Spd,3,1.4,22955,_1500.00,_1250.00,_1025.00,_850.00,0.0653,0.0545,0.0447,,0.037
Mitsubishi,i-MiEV (2011-),Japan,5Dr Hatchback 0.0 Electric 66 Keiko Auto,5,0.0,28554,_8500.00,_7000.00,_5750.00,_4900.00,0.2977,0.2451,0.2014,,0.1716
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 2.0 T 220 Elite Nav Auto,5,2.0,30460,_9300.00,_7600.00,_6225.00,_5425.00,0.3053,0.2495,0.2044,,0.1781
Citroen,C-Zero (2010-),France,5Dr Hatchback 0.0 Electric 66 EU5 Auto,5,0.0,26216,_8300.00,_6825.00,_5600.00,_4775.00,0.3166,0.2603,0.2136,,0.1821
Peugeot,ion (2011-),France,5Dr Hatchback 0.0 Electric 64 Auto,5,0.0,26216,_8500.00,_7000.00,_5750.00,_4900.00,0.3242,0.267,0.2193,,0.1869
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.8 140 Exclusiv Nav,5,1.8,20685,_6750.00,_5550.00,_4550.00,_3975.00,0.3263,0.2683,0.22,,0.1922
Renault,Fluence (2012- ),France,4Dr Saloon 0.0Electric 95 EU5 Expression+ Auto,4,0.0,22195,_7350.00,_6025.00,_4950.00,_4225.00,0.3312,0.2715,0.223,,0.1904
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.8 140 SRi Nav,5,1.8,23175,_7675.00,_6275.00,_5150.00,_4500.00,0.3312,0.2708,0.2222,,0.1942
Renault,Fluence (2012- ),France,4Dr Saloon 0.0Electric 95 EU5 Dynmique Auto,4,0.0,23095,_7775.00,_6375.00,_5250.00,_4500.00,0.3367,0.276,0.2273,,0.1948
Cadillac,CTS Saloon (2011-),USA,4Dr Saloon 6.2 V8 564 EU5 V 6Spd,4,6.2,68115,_23025.00,_18925.00,_15550.00,_13275.00,0.338,0.2778,0.2283,,0.1949
Peugeot,308 CC (2011-),France,2Dr Coupe-Cabriolet 2.0 HDi FAP 163 EU5 Allure TIP Auto6,2,2.0,28360,_9625.00,_7950.00,_6525.00,_5750.00,0.3394,0.2803,0.2301,,0.2028
Cadillac,CTS Coupe (2011-),USA,2Dr Coupe 6.2 V8 564 EU5 V 6Spd,2,6.2,71085,_24300.00,_20000.00,_16400.00,_14025.00,0.3418,0.2814,0.2307,,0.1973
Cadillac,CTS Sportwagon (2011-),USA,5Dr Estate 6.2 V8 564 EU5 V 6Spd,5,6.2,70965,_24550.00,_20175.00,_16550.00,_14150.00,0.3459,0.2843,0.2332,,0.1994
Cadillac,CTS Saloon (2011-),USA,4Dr Saloon 6.2 V8 564 EU5 V Auto6,4,6.2,68115,_23675.00,_19475.00,_16000.00,_13650.00,0.3476,0.2859,0.2349,,0.2004
Aixam,Roadline (2009-),France,3Dr Hatchback 0.5 GTR CVT Auto,3,0.5,11783,_4100.00,_3375.00,_2775.00,_2350.00,0.348,0.2864,0.2355,,0.1994
Cadillac,CTS Coupe (2011-),USA,2Dr Coupe 6.2 V8 564 EU5 V Auto6,2,6.2,71085,_25125.00,_20675.00,_16950.00,_14475.00,0.3535,0.2908,0.2384,,0.2036
Cadillac,CTS Sportwagon (2011-),USA,5Dr Estate 6.2 V8 564 EU5 V Auto6,5,6.2,70965,_25275.00,_20775.00,_17050.00,_14550.00,0.3562,0.2927,0.2403,,0.205
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 EZi SE Auto4,5,1.3,9399,_3375.00,_2775.00,_2275.00,_1950.00,0.3591,0.2952,0.242,,0.2075
Nissan,Leaf (2011-),Japan,5Dr Hatchback 0.0 Electric 107 EU5 Tekna Auto,5,0.0,30490,_11150.00,_9175.00,_7525.00,_6425.00,0.3657,0.3009,0.2468,,0.2107
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 2.8 T V6 Elite Nav Auto 4WD,5,2.8,34415,_12675.00,_10375.00,_8450.00,_7175.00,0.3683,0.3015,0.2455,,0.2085
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 140 Excite,5,1.8,21755,_8025.00,_6600.00,_5400.00,_4625.00,0.3689,0.3034,0.2482,,0.2126
Vauxhall,Insignia (2009-),Britain,4Dr Saloon 2.8 T V6 260 Elite Nav Auto 4WD,4,2.8,34380,_12700.00,_10400.00,_8475.00,_7200.00,0.3694,0.3025,0.2465,,0.2094
Mercedes Benz,CLS Coupe (2005-11),Germany,CLS500 4Dr Coupe 5.5 V8 EU5 387 Comand 7G-T Auto,4,5.5,57660,_21350.00,_17575.00,_14475.00,_12750.00,0.3703,0.3048,0.251,,0.2211
Nissan,Leaf (2011-),Japan,5Dr Hatchback 0.0 Electric 107 Auto,5,0.0,28490,_10625.00,_8750.00,_7175.00,_6150.00,0.3729,0.3071,0.2518,,0.2159
Nissan,Leaf (2011-),Japan,5Dr Hatchback 0.0 Electric 107 Solar Panel Spoiler Auto,5,0.0,28750,_10725.00,_8825.00,_7250.00,_6200.00,0.373,0.307,0.2522,,0.2157
Cadillac,Escalade (2011-),USA,5Dr SUV 6.0h V8 337 EU5 Sport Luxury Auto4 AWD,5,6.0,74265,_27700.00,_22750.00,_18700.00,_15975.00,0.373,0.3063,0.2518,,0.2151
Vauxhall,Insignia (2009-),Britain,5Dr Sports Tourer 2.8 T V6 260 EU5 Elite Nav Auto 4WD,5,2.8,35845,_13425.00,_10975.00,_8950.00,_7575.00,0.3745,0.3062,0.2497,,0.2113
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16v 140 Design,5,1.8,23260,_8800.00,_7225.00,_5925.00,_5075.00,0.3783,0.3106,0.2547,,0.2182
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 140 Design SNav,5,1.8,24010,_9125.00,_7500.00,_6175.00,_5250.00,0.38,0.3124,0.2572,,0.2187
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.7 CDTi ecoFLEX DPF 110 Design SNav 6Spd,5,1.7,25265,_9675.00,_7950.00,_6525.00,_5600.00,0.3829,0.3147,0.2583,,0.2217
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 120 EU5 Excite,5,1.8,21015,_8075.00,_6650.00,_5450.00,_4675.00,0.3842,0.3164,0.2593,,0.2225
Nissan,Leaf (2011-),Japan,5Dr Hatchback 0.0 Electric 107 EU5 Acenta Auto,5,0.0,28490,_10950.00,_9000.00,_7400.00,_6325.00,0.3843,0.3159,0.2597,,0.222
Volkswagen,Up (2011-),Germany,5Dr Hatchback 0.0 Electric EU5 82 e-up Auto,5,0.0,24250,_9325.00,_7700.00,_6325.00,_5375.00,0.3845,0.3175,0.2608,,0.2216
MG Motor UK,MG6 (2011-),Britain,4Dr Saloon 1.8T 160 Magnette EU5,4,1.8,19955,_7700.00,_6300.00,_5125.00,_4350.00,0.3859,0.3157,0.2568,,0.218
Cadillac,Escalade (2011-),USA,5Dr SUV 6.2 V8 409 EU5 Sport Luxury Auto6 AWD,5,6.2,66045,_25500.00,_20975.00,_17200.00,_14725.00,0.3861,0.3176,0.2604,,0.223
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.7 CDTi ecoFLEX DPF 125 Design SNav 6Spd,5,1.7,25515,_9875.00,_8100.00,_6675.00,_5700.00,0.387,0.3175,0.2616,,0.2234
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 120 EU5 Design SNav,5,1.8,23270,_9125.00,_7500.00,_6175.00,_5250.00,0.3921,0.3223,0.2654,,0.2256
Cadillac,CTS Coupe (2011-),USA,2Dr Coupe 3.6 V6 322 EU5 Sport Luxury Auto6 AWD,2,3.6,51350,_20150.00,_16550.00,_13600.00,_11625.00,0.3924,0.3223,0.2648,,0.2264
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16v 140 Exclusiv,5,1.8,19855,_7800.00,_6400.00,_5275.00,_4500.00,0.3928,0.3223,0.2657,,0.2266
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 120 EU5 Design,5,1.8,22520,_8850.00,_7275.00,_5950.00,_5100.00,0.393,0.323,0.2642,,0.2265
Aixam,Mega eCity (2009-),France,3Dr Hatchback 0.0Electric 2 Seat Auto,3,0.0,13304,_5275.00,_4325.00,_3575.00,_3050.00,0.3965,0.3251,0.2687,,0.2293
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 86 EU5 Sport Silver,5,1.3,7999,_3175.00,_2600.00,_2150.00,_1825.00,0.3969,0.325,0.2688,,0.2282
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 140 Exclusiv SNav,5,1.8,20255,_8075.00,_6650.00,_5450.00,_4675.00,0.3987,0.3283,0.2691,,0.2308
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi SE,5,1.3,8399,_3350.00,_2750.00,_2250.00,_1950.00,0.3989,0.3274,0.2679,,0.2322
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 EZi Lux Auto4,5,1.3,8399,_3350.00,_2750.00,_2250.00,_1950.00,0.3989,0.3274,0.2679,,0.2322
Aixam,Mega eCity (2009-),France,3Dr Hatchback 0.0Electric 4 Seat Auto,3,0.0,13888,_5550.00,_4575.00,_3725.00,_3200.00,0.3996,0.3294,0.2682,,0.2304
MG Motor UK,MG6 (2011-),Britain,5Dr Hatchback 1.8T 160 GT EU5 TSE,5,1.8,18955,_7575.00,_6200.00,_5075.00,_4275.00,0.3996,0.3271,0.2677,,0.2255
Aixam,Crossline (2010-),France,3Dr Hatchback 0.6D 15 Superlux CVT Auto,3,0.6,11983,_4800.00,_3975.00,_3250.00,_2775.00,0.4006,0.3317,0.2712,0.27342,0.2316
Mercedes Benz,CLS Coupe (2005-11),Germany,CLS350 4Dr Coupe 3.5 V6 CGi 292 Comand 7G-T Auto,4,3.5,49235,_19900.00,_16375.00,_13500.00,_11875.00,0.4042,0.3326,0.2742,,0.2412
Cadillac,CTS Coupe (2011-),USA,2Dr Coupe 3.6 V6 322 EU5 Sport Luxury Auto6,2,3.6,49300,_19950.00,_16400.00,_13475.00,_11500.00,0.4047,0.3327,0.2733,,0.2333
Aixam,Crossover (2012-),France,3Dr Hatchback 0.6D 15 GT CVT Auto,3,0.6,12775,_5175.00,_4250.00,_3500.00,_2975.00,0.4051,0.3327,0.274,,0.2329
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.7 CDTi ecoFLEX DPF 110 Design 6Spd,5,1.7,24515,_9950.00,_8175.00,_6725.00,_5725.00,0.4059,0.3335,0.2743,,0.2335
Aixam,Crossline (2010-),France,3Dr Hatchback 0.6D 15 GT CVT Auto,3,0.6,11261,_4575.00,_3750.00,_3075.00,_2625.00,0.4063,0.333,0.2731,,0.2331
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 120 EU5 Exclusiv SNav,5,1.8,19865,_8075.00,_6650.00,_5450.00,_4675.00,0.4065,0.3348,0.2744,,0.2353
Aixam,Crossline (2010-),France,3Dr Hatchback 0.5 20 Superlux CVT Auto,3,0.5,12600,_5125.00,_4200.00,_3475.00,_2950.00,0.4067,0.3333,0.2758,,0.2341
Cadillac,CTS Saloon (2011-),USA,4Dr Saloon 3.6 V6 322 EU5 Sport Luxury Auto6 AWD,4,3.6,48220,_19625.00,_16150.00,_13225.00,_11300.00,0.407,0.3349,0.2743,,0.2343
Chevrolet,Orlando (2011-),USA,5Dr Estate 1.8 140 EU5 LT 7Seat,5,1.8,19345,_7875.00,_6475.00,_5325.00,_4550.00,0.4071,0.3347,0.2753,,0.2352
Chevrolet,Orlando (2011-),USA,5Dr Estate 1.8 140 EU5 LT 7Seat Auto6,5,1.8,20245,_8250.00,_6775.00,_5575.00,_4750.00,0.4075,0.3347,0.2754,,0.2346
Cadillac,CTS Saloon (2011-),USA,4Dr Saloon 3.0 V6 276 EU5 Elegance Auto6,4,3.0,41510,_16925.00,_13900.00,_11425.00,_9750.00,0.4077,0.3349,0.2752,,0.2349
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.8 16V 120 EU5 Exclusiv,5,1.8,19115,_7800.00,_6425.00,_5275.00,_4500.00,0.4081,0.3361,0.276,,0.2354
Cadillac,CTS Saloon (2011-),USA,4Dr Saloon 3.0 V6 276 EU5 Sport Luxury Auto6,4,3.0,43490,_17750.00,_14600.00,_11975.00,_10250.00,0.4081,0.3357,0.2754,,0.2357
Citroen,C5 (2008-),France,4Dr Saloon 2.2 HDi DPF 200 EU5 Exclusive Techno Pack Auto6,4,2.2,29335,_11975.00,_9800.00,_7975.00,_6775.00,0.4082,0.3341,0.2719,,0.231
Nissan,Leaf (2011-),Japan,5Dr Hatchback 0.0 Electric 107 EU5 Visia Auto,5,0.0,25990,_10625.00,_8750.00,_7175.00,_6150.00,0.4088,0.3367,0.2761,,0.2366
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 EZi Auto4,5,1.3,7999,_3275.00,_2700.00,_2225.00,_1900.00,0.4094,0.3375,0.2782,,0.2375
Jeep,Wrangler (2011-),USA,2Dr SUV 3.6 V6 280 EU5 Overland Auto5,2,3.6,31175,_12775.00,_10475.00,_8525.00,_7250.00,0.4098,0.336,0.2735,,0.2326
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.7 CDTi ecoFLEX DPF 125 Design 6Spd,5,1.7,24765,_10150.00,_8375.00,_6850.00,_5850.00,0.4099,0.3382,0.2766,,0.2362
Chevrolet,Orlando (2011-),USA,5Dr Estate 1.8 140 EU5 LS 7Seat,5,1.8,18045,_7400.00,_6100.00,_5025.00,_4275.00,0.4101,0.338,0.2785,,0.2369
Aixam,Crossover (2012-),France,3Dr Hatchback 0.5 20 GTR CVT Auto,3,0.5,13020,_5350.00,_4400.00,_3625.00,_3100.00,0.4109,0.3379,0.2784,,0.2381
Fiat,Bravo (2007-),Italy/USA,5Dr Hatchback 1.6 Multijet 105 DPF EU5 Easy 6Spd,5,1.6,17995,_7400.00,_6100.00,_4975.00,_4250.00,0.4112,0.339,0.2765,,0.2362
Mercedes Benz,CLS Coupe (2005-11),Germany,CLS63 4Dr Coupe 6.2 V8 AMG Comand 7G-T Auto,4,6.2,77960,_32100.00,_26475.00,_21800.00,_19150.00,0.4117,0.3396,0.2796,,0.2456
Vauxhall,Zafira (2005-),Britain,5Dr MPV 1.7 CDTi ecoFLEX DPF 110 Excite 6Spd,5,1.7,23010,_9475.00,_7800.00,_6400.00,_5450.00,0.4118,0.339,0.2781,,0.2369
Aixam,Crossline (2010-),France,3Dr Hatchback 0.5 20 GTR CVT Auto,3,0.5,12305,_5075.00,_4175.00,_3400.00,_2925.00,0.4124,0.3393,0.2763,,0.2377
Proton,Gen-2 (2004-),Malaysia,5Dr Hatchback 1.6 ecoLogic 110 GSX P-LPG,5,1.6,11195,_4625.00,_3800.00,_3125.00,_2650.00,0.4131,0.3394,0.2791,,0.2367
Jeep,Wrangler (2011-),USA,4Dr SUV 3.6 V6 280 EU5 Overland Auto5,4,3.6,32845,_13575.00,_11100.00,_9050.00,_7675.00,0.4133,0.338,0.2755,,0.2337
Fiat,Scudo Combi (2008-),Italy/USA,L1 5Dr 2.0 Multijet Power DPF 163 EU5 9Seat 6Spd,5,2.0,27666,_11450.00,_9425.00,_7725.00,_6625.00,0.4139,0.3407,0.2792,,0.2395
Cadillac,CTS Sportwagon (2011-),USA,5Dr Estate 3.0 V6 276 EU5 Elegance Auto6,5,3.0,43560,_18050.00,_14850.00,_12175.00,_10400.00,0.4144,0.3409,0.2795,,0.2388
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi Sport Plus,5,1.3,8799,_3650.00,_3000.00,_2475.00,_2100.00,0.4148,0.3409,0.2813,,0.2387
Proton,Gen-2 (2004-),Malaysia,4Dr Saloon Persona 1.6 110 ecoLogic P-LPG,4,1.6,11195,_4650.00,_3825.00,_3150.00,_2675.00,0.4154,0.3417,0.2814,,0.2389
Cadillac,CTS Sportwagon (2011-),USA,5Dr Estate 3.0 V6 276 EU5 Sport Luxury Auto6,5,3.0,45570,_18950.00,_15575.00,_12800.00,_10925.00,0.4158,0.3418,0.2809,,0.2397
Cadillac,CTS Sportwagon (2011-),USA,5Dr Estate 3.6 V6 322 EU5 Sport Luxury Auto6 AWD,5,3.6,50300,_20925.00,_17200.00,_14125.00,_12075.00,0.416,0.3419,0.2808,,0.2401
