Manufacturer,Model,Nationality,Derivative,Doors,Engine Size,OTR,12 month 12k miles Part-Ex,24 month 24k miles Part-Ex,36 month 36k miles Part-Ex,48 month 48k miles  Part-Ex,12month 12k miles % of OTR,24 month 24k miles % of OTR,36 month 36k miles % of OTR,3YR % Depreciation,48 month 48k miles % of OTR
Dacia,Sandero (2012-),Romania,5Dr Hatchback 1.2 75 EU5 Access,5,1.2,5995,4550.00,3775.00,3125.00,2725.00,0.759,0.6297,0.5213,,0.4545
Dacia,Sandero (2012-),Romania,5Dr Hatchback 1.2 75 EU5 Ambiance,5,1.2,6795,4900.00,4075.00,3375.00,2925.00,0.7211,0.5997,0.4967,,0.4305
Renault,Twizy (2012-),France,2Dr Tandem 0.0Electric 18 EU5 Urban Auto,2,0.0,6895,3850.00,3175.00,2600.00,2225.00,0.5584,0.4605,0.3771,,0.3227
Dacia,Logan (2013-),Romania,5Dr MCV 1.2 75 EU5 Access,5,1.2,6995,4850.00,4050.00,3350.00,2925.00,0.6934,0.579,0.4789,,0.4182
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi,5,1.3,6999,3025.00,2500.00,2050.00,1725.00,0.4322,0.3572,0.2929,,0.2465
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 86 EU5 SXi Xtra,5,1.3,7099,3075.00,2550.00,2075.00,1775.00,0.4332,0.3592,0.2923,,0.25
Suzuki,Alto (2009-),Japan,5Dr Hatchback 1.0 12V 68 EU5 SZ,5,1.0,7199,4900.00,4025.00,3300.00,2825.00,0.6807,0.5591,0.4584,,0.3924
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi Lux,5,1.3,7399,3125.00,2575.00,2100.00,1800.00,0.4224,0.348,0.2838,,0.2433
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 86 EU5 Wolfrace Design,5,1.3,7399,3150.00,2575.00,2125.00,1800.00,0.4257,0.348,0.2872,,0.2433
Renault,Twizy (2012-),France,2Dr Tandem 0.0Electric 18 EU5 Technic Auto,2,0.0,7595,4025.00,3300.00,2700.00,2300.00,0.53,0.4345,0.3555,,0.3028
Dacia,Sandero (2012-),Romania,5Dr Hatchback 0.9TCe 90 EU5 Ambiance,5,0.9,7595,5250.00,4350.00,3625.00,3125.00,0.6912,0.5727,0.4773,,0.4115
Dacia,Logan (2013-),Romania,5Dr MCV 1.2 75 EU5 Ambiance,5,1.2,7795,5125.00,4250.00,3550.00,3075.00,0.6575,0.5452,0.4554,,0.3945
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi Sport,5,1.3,7799,3350.00,2750.00,2250.00,1950.00,0.4295,0.3526,0.2885,,0.25
Proton,Savvy (2005-),Malaysia,5Dr Hatchback 1.2 75 Style,5,1.2,7995,3375.00,2775.00,2275.00,1950.00,0.4221,0.3471,0.2846,,0.2439
Dacia,Sandero (2012-),Romania,5Dr Hatchback 1.2 75 EU5 Laureate,5,1.2,7995,5650.00,4675.00,3875.00,3350.00,0.7067,0.5847,0.4847,,0.419
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 86 EU5 Sport Silver,5,1.3,7999,3175.00,2600.00,2150.00,1825.00,0.3969,0.325,0.2688,,0.2282
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 EZi Auto4,5,1.3,7999,3275.00,2700.00,2225.00,1900.00,0.4094,0.3375,0.2782,,0.2375
Kia,Picanto (2011-),South Korea,3Dr Hatchback 1.0 68 EU5 1,3,1.0,8045,5500.00,4550.00,3725.00,3175.00,0.6837,0.5656,0.463,,0.3947
Citroen,C1 (2012-),France,3Dr Hatchback 1.0i 68 EU5 VT,3,1.0,8095,5800.00,4775.00,3900.00,3325.00,0.7165,0.5899,0.4818,,0.4107
Seat,Mii (2012-),Spanish,3Dr Hatchback 1.0 12V 60 EU5 S,3,1.0,8195,6000.00,4950.00,4075.00,3475.00,0.7322,0.604,0.4973,,0.424
Skoda,Citigo (2012-),Czech,3Dr Hatchback 1.0 60 EU5 S,3,1.0,8210,5550.00,4550.00,3725.00,3200.00,0.676,0.5542,0.4537,,0.3898
Peugeot,107 (2012-),France,3Dr Hatchback 1.0 12V 68 EU5 Access,3,1.0,8220,5825.00,4775.00,3925.00,3350.00,0.7086,0.5809,0.4775,,0.4075
Kia,Picanto (2011-),South Korea,5Dr Hatchback 1.0 68 EU5 1,5,1.0,8245,5625.00,4625.00,3800.00,3250.00,0.6822,0.5609,0.4609,,0.3942
Peugeot,108 (2014-),France,3Dr Hatchback 1.0 VTi 68 EU5 Access,3,1.0,8245,6275.00,5175.00,4250.00,3625.00,0.7611,0.6277,0.5155,,0.4397
Nissan,Pixo (2009-),Japan,5Dr Hatchback 1.0 EU5 68 N-Tec,5,1.0,8250,5825.00,4775.00,3925.00,3350.00,0.7061,0.5788,0.4758,,0.4061
Volkswagen,Up (2011-),Germany,3Dr Hatchback 1.0 60 EU5 Take up,3,1.0,8265,5475.00,4525.00,3700.00,3175.00,0.6624,0.5475,0.4477,,0.3842
Dacia,Sandero Stepway (2012-),Romania,5Dr Hatchback 0.9TCe 90 EU5 Ambiance,5,0.9,8395,5175.00,4275.00,3575.00,3100.00,0.6164,0.5092,0.4258,,0.3693
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi SE,5,1.3,8399,3350.00,2750.00,2250.00,1950.00,0.3989,0.3274,0.2679,,0.2322
